ParamsID,Order,a,b,c,IntervalIndices,Offsets
392,1,0,5.21529,-2.6516,"392","0"
393,1,0,5.20204,-2.64905,"393","0"
394,1,0,5.18885,-2.64651,"394","0"
395,1,0,5.17573,-2.64398,"395","0"
396,1,0,5.16268,-2.64146,"396","0"
397,1,0,5.14969,-2.63894,"397","0"
398,1,0,5.13677,-2.63642,"398","0"
399,1,0,5.12391,-2.63392,"399","0"
400,1,0,5.11111,-2.63142,"400","0"
401,1,0,5.09838,-2.62892,"401","0"
402,1,0,5.08572,-2.62644,"402","0"
403,1,0,5.07311,-2.62396,"403","0"
404,1,0,5.06057,-2.62148,"404","0"
405,1,0,5.04809,-2.61901,"405","0"
406,1,0,5.03567,-2.61655,"406","0"
407,1,0,5.02332,-2.61409,"407","0"
408,1,0,5.01102,-2.61164,"408","0"
409,1,0,4.99878,-2.60919,"409","0"
410,1,0,4.9866,-2.60676,"410","0"
411,1,0,4.97449,-2.60432,"411","0"
412,1,0,4.96243,-2.6019,"412","0"
413,1,0,4.95043,-2.59947,"413","0"
414,1,0,4.93848,-2.59706,"414","0"
415,1,0,4.9266,-2.59465,"415","0"
416,1,0,4.91477,-2.59225,"416","0"
417,1,0,4.903,-2.58985,"417","0"
418,1,0,4.89128,-2.58745,"418","0"
419,1,0,4.87962,-2.58507,"419","0"
420,1,0,4.86802,-2.58269,"420","0"
421,1,0,4.85647,-2.58031,"421","0"
422,1,0,4.84497,-2.57794,"422","0"
423,1,0,4.83353,-2.57558,"423","0"
424,1,0,4.82215,-2.57322,"424","0"
425,1,0,4.81081,-2.57087,"425","0"
426,1,0,4.79953,-2.56852,"426","0"
427,1,0,4.78831,-2.56618,"427","0"
428,1,0,4.77713,-2.56384,"428","0"
429,1,0,4.76601,-2.56151,"429","0"
430,1,0,4.75494,-2.55918,"430","0"
431,1,0,4.74392,-2.55686,"431","0"
432,1,0,4.73295,-2.55455,"432","0"
433,1,0,4.72203,-2.55224,"433","0"
434,1,0,4.71116,-2.54994,"434","0"
435,1,0,4.70035,-2.54764,"435","0"
436,1,0,4.68958,-2.54534,"436","0"
437,1,0,4.67886,-2.54305,"437","0"
438,1,0,4.66819,-2.54077,"438","0"
439,1,0,4.65757,-2.53849,"439","0"
440,1,0,4.64699,-2.53622,"440","0"
441,1,0,4.63647,-2.53395,"441","0"
442,1,0,4.62599,-2.53169,"442","0"
443,1,0,4.61556,-2.52943,"443","0"
444,1,0,4.60518,-2.52718,"444","0"
445,1,0,4.59484,-2.52493,"445","0"
446,1,0,4.58455,-2.52269,"446","0"
447,1,0,4.5743,-2.52046,"447","0"
448,1,0,4.5641,-2.51822,"448","0"
449,1,0,4.55395,-2.516,"449","0"
450,1,0,4.54384,-2.51377,"450","0"
451,1,0,4.53378,-2.51156,"451","0"
452,1,0,4.52376,-2.50934,"452","0"
453,1,0,4.51378,-2.50714,"453","0"
454,1,0,4.50385,-2.50493,"454","0"
455,1,0,4.49396,-2.50274,"455","0"
456,1,0,4.48412,-2.50054,"456","0"
457,1,0,4.47432,-2.49835,"457","0"
458,1,0,4.46456,-2.49617,"458","0"
459,1,0,4.45484,-2.49399,"459","0"
460,1,0,4.44517,-2.49182,"460","0"
461,1,0,4.43554,-2.48965,"461","0"
462,1,0,4.42595,-2.48749,"462","0"
463,1,0,4.4164,-2.48533,"463","0"
464,1,0,4.40689,-2.48317,"464","0"
465,1,0,4.39742,-2.48102,"465","0"
466,1,0,4.388,-2.47887,"466","0"
467,1,0,4.37861,-2.47673,"467","0"
468,1,0,4.36927,-2.4746,"468","0"
469,1,0,4.35996,-2.47246,"469","0"
470,1,0,4.35069,-2.47034,"470","0"
471,1,0,4.34147,-2.46821,"471","0"
472,1,0,4.33228,-2.46609,"472","0"
473,1,0,4.32313,-2.46398,"473","0"
474,1,0,4.31402,-2.46187,"474","0"
